Meas. Pts.,Shear Rate,Temp,Shear Stress,Viscosity
,[1/s],C,[Pa],[PaÂ·s]
1,49.98,15,54.24,1.085
2,50,16.2068965517,53.73,1.075
3,50,17.4137931034,53.12,1.062
4,50,18.6206896552,52.39,1.048
5,50,19.8275862069,51.08,1.022
6,50,21.0344827586,49.73,0.9946
7,50,22.2413793103,47.54,0.9507
8,50,23.4482758621,45.44,0.9087
9,50,24.6551724138,42.56,0.8512
10,50,25.8620689655,38.81,0.7761
11,50,27.0689655172,34.45,0.6889
12,50,28.275862069,29.6,0.592
13,50,29.4827586207,23.51,0.4703
14,50,30.6896551724,15.73,0.3145
15,50,31.8965517241,8.918,0.1784
16,50,33.1034482759,6.323,0.1265
17,50,34.3103448276,5.393,0.1079
18,50,35.5172413793,4.812,0.09624
19,50,36.724137931,4.46,0.0892
20,50,37.9310344828,4.136,0.08271
21,50,39.1379310345,3.741,0.07482
22,50,40.3448275862,3.377,0.06753
23,50,41.5517241379,3.05,0.061
24,50,42.7586206897,2.778,0.05555
25,50,43.9655172414,2.551,0.05102
26,50,45.1724137931,2.361,0.04723
27,50,46.3793103448,2.234,0.04468
28,50,47.5862068966,2.15,0.04299
29,50,48.7931034483,2.09,0.0418
30,50,50,2.042,0.04085
1,50,50,2.015,0.0403
2,50,48.7931034483,2.018,0.04037
3,50,47.5862068966,2.047,0.04094
4,50,46.3793103448,2.075,0.0415
5,50,45.1724137931,2.116,0.04231
6,50,43.9655172414,2.154,0.04307
7,50,42.7586206897,2.205,0.0441
8,50,41.5517241379,2.252,0.04504
9,50,40.3448275862,2.311,0.04622
10,50,39.1379310345,2.382,0.04763
11,50,37.9310344828,2.481,0.04962
12,50,36.724137931,2.619,0.05239
13,50,35.5172413793,2.814,0.05628
14,50,34.3103448276,3.115,0.06231
15,50,33.1034482759,3.758,0.07516
16,50,31.8965517241,5.347,0.1069
17,50,30.6896551724,9.26,0.1852
18,50,29.4827586207,15.37,0.3074
19,50,28.275862069,19.53,0.3906
20,50,27.0689655172,22.79,0.4558
21,50,25.8620689655,25,0.4999
22,50,24.6551724138,26.57,0.5314
23,50,23.4482758621,27.67,0.5533
24,50,22.2413793103,28.53,0.5706
25,50,21.0344827586,29.23,0.5847
26,50,19.8275862069,29.84,0.5967
27,50,18.6206896552,30.32,0.6064
28,50,17.4137931034,30.77,0.6154
29,50,16.2068965517,31.24,0.6248
30,50,15,31.59,0.6318
